نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
مينو,میرسپاسی,عبدل اباد خیابان بخشنده. خ لقمان جنوبی ارسطو جنوبی نبش . ک 16,0,15,کارشناسی ارشد یا بالاتر,,46,,26
نادعلي,هاشمی,دور میدان ولیعصر,1,12,کارشناسی (لیسانس),,38,,13
نعمت الله,هاشمی رفسنجانی,عبدل اباد خ 19 متری بدر ک 5 شرقی,1,21,ابتدایی یا متوسطه,,24,,4
هاشميه,هاشمیان,مسعودیه . خ کلهر . خ مهاجرانی . نبش کوچه پیری,1,21,کارشناسی ارشد یا بالاتر,,30,,1
هدايت,هامون,تهرانپارس خ جشنواره خ امین خ بهشت شرقی نبش کوچه کامکار,0,15,دیپلم,,51,,9
ابوطالب,هدایت,افسریه . بین خ  39 و  40 .,0,12,کارشناسی ارشد یا بالاتر,,31,,4
اسحق,هراتی,آیت الله کاشانی گلهای دوم انتهای کلها کوچه نسترن,1,16,کارشناسی ارشد یا بالاتر,,23,,4
آلاء,هروی,مجیدیه شمالی . خ 16منصوری - نبش گلستان سوم,1,14,کارشناسی (لیسانس),,32,,4
اميرطاها,ستاری,میدان رازی-خ شهید ایروانی-کوچه احدی-,1,20,ابتدایی یا متوسطه,,55,,24
امين اله,سحاب,خ فاطمی,0,14,کارشناسی ارشد یا بالاتر,,35,,21
آناهيتا,سحابی,میدان تیموری. بلوار صالحی.,0,21,دیپلم,,48,,4
آنيتا,سراج,خرازی - بسمت غرب -بعداز جوانمردان -نرسیده پل ازادگان,0,24,کارشناسی ارشد یا بالاتر,,46,,25
ترنم,سرشار,خیابان کارگر اول خیابان مختاری کوچه مظلومی بن بست اول,0,21,کارشناسی ارشد یا بالاتر,,42,,17
توحيد,سرمد,شهرری . میدان نارنج . ک 18 دی .,0,16,کارشناسی (لیسانس),,22,,28
جبار,سروستانی,نارمک میدان 72 کوچه عیاضی,0,16,ابتدایی یا متوسطه,,53,,10
حاتم,سروش,غیا ثی ال اقا خ برادران هدایتی,1,25,کارشناسی ارشد یا بالاتر,,34,,4
حمزه علي,سلامت,بلوار فرحزادی - بعد از نیایش - گلستان یکم -,1,12,دیپلم,,31,,25
خالد,سیف,خ پیروزی خ شکوفه دور میدان شکوفه,1,20,کارشناسی ارشد یا بالاتر,,27,,35
رفعت,سیف‌زاده,تهرانپارس . خ 216 شرقی . بین 133 و 135 .,0,21,کارشناسی ارشد یا بالاتر,,49,,21
ريحان,شادمهر,رسالت چهاراه سر سبز پایین تر از میدان 47,1,15,کارشناسی (لیسانس),,18,,17
زهره السادات,شاملو,خ هلال احمر بعد از نواب ک هاشمیان انتهای کوچه,0,24,ابتدایی یا متوسطه,,33,,24
زهره سادات,شاه‌حسینی,شهران - توقانی - کوچه یاس -,1,23,کارشناسی ارشد یا بالاتر,,27,,23
سعاد,شاهی,تهرانپارس خ 196 شرقی خ 135 شمالی نبش خ 208,0,25,دیپلم,,48,,15
سمانه سادات,شبستری,خ شریعتی بالاتر از پل صدر خ میرزا پور خ فاطمیه کوچه گودرزی,1,19,کارشناسی ارشد یا بالاتر,,20,,18
سميه السادات,شجاعی,خ نارمک -خ چهل شش متری -میدان هفتاد -بن بست صبوری,0,25,کارشناسی ارشد یا بالاتر,,50,,15
سيداصغر,شرع‌پسند,میدان شاهد (پروین). خ 131. نبشخ 212,0,15,کارشناسی (لیسانس),,22,,18
سيدامين,شرف,شهر ری دولت آباد میدان بروجردی خ پروین اعتصامی,0,16,ابتدایی یا متوسطه,,41,,11
سيدجليل,شریعتمداری,پونک - خ فکوری - ک سوم شرقی,1,25,کارشناسی ارشد یا بالاتر,,34,,2
سيدعبداله,شریعتی,نازی اباد 400 دستگاه .,0,19,دیپلم,,26,,34
سيده ريحانه,شریف,اتوبان بابایی به سمت شرق- ورودی امام علی شمال,0,19,کارشناسی ارشد یا بالاتر,,22,,19
سيده طاهره,شریفیان,فلا ح میدان ابوذر خیا با ن بهبودی کوچه شهید غلا م حسن محمدی,0,24,کارشناسی ارشد یا بالاتر,,29,,23
سيده فائزه,شفا,کن  خیا با ن امام زاده جعفر  نبش کوچه کنجی,0,23,کارشناسی (لیسانس),,28,,31
سيده هاجر,شهیدی,مرزداران خیا با ن نسیبه,1,17,ابتدایی یا متوسطه,,53,,4
شعبان,شیخ‌الاسلامی,خ ولیعصر بعد از امانیه 200 متر لاین ویژه,1,24,کارشناسی ارشد یا بالاتر,,47,,27
صديقه السادات,شیرازی,اتوبان شیخ فضل الله خیابان پارت فرهنگیان,1,19,دیپلم,,28,,31
ضحا,شیرمحمدی,خیابان فدائیان اسلام بعداز پل بعثت کوچه شهید پیروزی اذر,1,13,کارشناسی ارشد یا بالاتر,,26,,3
عبدالنبي,شیروانی,شهرک غرب - مهستان - انتهای دوازدهم -,0,24,کارشناسی ارشد یا بالاتر,,45,,33
عظيم,صانعی,جانبازان شرقی - بعد از چهار راه گلبرگ - برادران ضعیف - حمزه لویی,1,14,کارشناسی (لیسانس),,35,,32
فائزه السادات,صباغ,جنت اباد =بالاتر از همت- بعثت- کوچه عسگری -,1,22,ابتدایی یا متوسطه,,23,,8
فتحعلي,صدر,مسیل باختر شهید نوروزی فر ک شهید عباس مرادی,1,14,کارشناسی ارشد یا بالاتر,,21,,19
فخريه,صدیق,میدان سپاه ابتدای خواجه نصیر غربی,0,22,دیپلم,,46,,32
فوأد,صدیقی,تقاطع خیابان ولیعصر (عج ) و خیابان چهاردهم,1,21,کارشناسی ارشد یا بالاتر,,24,,21
كريمه,صغیری,شهرری خ شهید غیبی بلوار شهدا اژارتمان های فجر امام رضا بین,1,19,کارشناسی ارشد یا بالاتر,,38,,21
كيومرث,صفوی,30 متری جی- سادات-بعد از امام زاده عبدالله-رزاقی,0,23,کارشناسی (لیسانس),,40,,0
لاله,عارف,تهران پارس خ 196 غربی بلوار اریبهشت نبش کوچه عنبرستانی,0,14,ابتدایی یا متوسطه,,45,,25
ماه سلطان,عاشوری,خ نبرد شمالی - خ دهم فروردین کوچه احتشامی فر,0,19,کارشناسی ارشد یا بالاتر,,44,,6
مائده سادات,عالی,لایروبی  و بردن لجن ها,1,21,دیپلم,,28,,22
محبوبه السادات,عبادی,خ جشنواذه,0,22,کارشناسی ارشد یا بالاتر,,49,,32
محدثه السادات,عبدالکریمی,خ جمال زاده شمالی بعد از فرصت نبش اعتماد 0,1,22,کارشناسی ارشد یا بالاتر,,21,,8
محدثه سادات,عبدالملکی,سعادت آباد - میدان کاج - بلوار سرو غربی - خ صرافهای شمالی - نبش ک کیان13 غربی- کارگاه,1,22,کارشناسی (لیسانس),,51,,33
محمدفاضل,عراقی,هلال احمر- انتهای خ عباسی جنوبی - خ شیخ محمدی -سرتاسر ک اخوان طاهری,1,25,ابتدایی یا متوسطه,,25,,5
محمدهاشم,مستوفی,صادقیه -شمال بلوار شهدای صادقیه -انتهای ک باغ دشت-داخل باغچه,1,18,کارشناسی ارشد یا بالاتر,,31,,20
مراد,مشا,خ پیروزی بین 100 دستگاه بین محصل و عادلی رستوران ژولی,0,19,دیپلم,,30,,7
مسيح,مصاحب,ضلع جنوب شرقی  میدان هفت حوض -,1,25,کارشناسی ارشد یا بالاتر,,41,,27
مهديار,مصباح,جوادیه - با زا رچه - کو چه شهید با بک مو منی -مقا بل,1,18,کارشناسی ارشد یا بالاتر,,27,,34
نازي,مصباح‌زاده,پونک . سردار جنگل . خ مخبری . نبش تقاطع افخمی . بوستان مهر,1,20,کارشناسی (لیسانس),,50,,13
ناهيده,مطهری,شهرک مسعودیه - بالاتر از 20 متری مرشد .خ دهم,1,23,ابتدایی یا متوسطه,,55,,30
نجيمه,موحد,شهرری - 45 متری کریمی -نرسیده به گذرنامه -,0,18,کارشناسی ارشد یا بالاتر,,23,,18
نرجس خاتون,موسوی,سرسبز میدان 46 کوچه غفوری انتهای کوچه یک,1,15,دیپلم,,34,,11
نرگس السادات,خراسانی,گیشا . بالاتر از خ 9 . نبش فروزان فر . به سمت شمال,1,18,کارشناسی ارشد یا بالاتر,,41,,33
نوريه,خرم‌آبادی,میرداماد خ البرز,1,14,کارشناسی ارشد یا بالاتر,,40,,33
هاني,خسروپناه,یاخچی آباد - چهارراه عباسی - ک الماسی -,1,13,کارشناسی (لیسانس),,44,,4
اباالفضل,خمسه,شهر ری. میدان بروجردی .خ پروین اعتصامی,1,18,ابتدایی یا متوسطه,,19,,6
اردشير,خوئینی,بهشتی شمالی عباس اباد میر عماد - کوچه دهم,1,23,کارشناسی ارشد یا بالاتر,,37,,14
ارشيا,خوئینی‌ها,خیابان هلال احمر . خیابان شهید فاتح چهر . کوچه عباس نور قربانی . بن بست 4-,0,25,دیپلم,,34,,18
آرميتا,خیابانی,اتوبان شهید حکیم غرب به شرق -بین ورودی شقایق و اباذر - بلوار وسط,0,19,کارشناسی ارشد یا بالاتر,,22,,16
اسدالله,راسخ,خیابان فرجام - خ گل رز - سرکوچه شفا,1,16,کارشناسی ارشد یا بالاتر,,41,,16
اسراء,راوندی,بروجردی پایین تر پل فرح آباد (بعثت),0,22,کارشناسی (لیسانس),,16,,30
الهه السادات,رجایی,یادگار امام -جنوب بهئ سمت ازادی -سر تقاطع زارع,1,20,ابتدایی یا متوسطه,,52,,23
امان اله,رحماندوست,خیابان مدنی. خیابان وحیدیه. کوچه امیر فرهانی.,0,12,کارشناسی ارشد یا بالاتر,,39,,8
بي بي جان,رحمانیان,شهر ری .- خ شهید رجایی -. 13 ابان . نبش خرداد 4 و 5,0,17,دیپلم,,37,,22
بي بي معصومه,رستمی,هفت تیر - قائم مقام - خ مشاهیر - نببش -مازندرانی,1,19,کارشناسی ارشد یا بالاتر,,29,,6
پرنيان,رسولی,لاله زارنونرسیده به انقلاب ک گل پرور,1,17,کارشناسی ارشد یا بالاتر,,39,,19
پگاه,رفیعی,خ طیب,1,12,کارشناسی (لیسانس),,32,,1
تكتم,رنجبر,جیحون بین هاشمی و سپه ک بهرمان,0,20,ابتدایی یا متوسطه,,32,,5
تيمور,رنگرز,خ رودکی .خ شهید خمسه یا شکوفه..کوچه مظاهری,1,20,کارشناسی ارشد یا بالاتر,,21,,6
حمداله,روحانی,تهرانپارس -وفادار-سازمان گوشت- خ شهید رجایی- کوچه نهم غربی,1,20,دیپلم,,33,,15
خيراله,روزبه,شهر ری . میدان غیبی . خ حسن یزدان خواه.نبش صاحب الزمان,1,22,کارشناسی ارشد یا بالاتر,,30,,6
ذليخا,رهنما,دولت خواه جنوبی - ک 30 - ک گلبرگ - ک پائیزان دو - اطراف,1,22,کارشناسی ارشد یا بالاتر,,28,,3
راضيه سادات,زارع,شهرری. خ شهید غیوری. نبش سرگرد محمدی چهارراه خط اهن,0,12,کارشناسی (لیسانس),,38,,6
راهله,زالی,خ امامت . ابتدای خ مسیل منوچهری شرقی .,0,15,ابتدایی یا متوسطه,,49,,23
رحمت,زرشناس,عباس آباد,0,24,کارشناسی ارشد یا بالاتر,,47,,7
رقيه سادات,زمردیان,پیروزی خ مقداد فلکه سوم کوی خازنه,1,24,دیپلم,,15,,20
روژان,زهرایی,خ. پیروزی سه راه سلیمانیه خ. بنایی کوچه دهم,1,24,کارشناسی ارشد یا بالاتر,,44,,21
ساجده سادات,زین‌الدین,میدان رسالت - خیابان سلمان طرقی - خیابان شهید شفایی -,1,16,کارشناسی ارشد یا بالاتر,,46,,30
سيدغلامرضا,شادمهر,شهرارا . ضلع شمال پارک شهرارا,1,20,کارشناسی (لیسانس),,50,,1
سيدكريم,شاملو,تهرانپارس .مظفری .نبش کوچه قشوینی,1,21,ابتدایی یا متوسطه,,40,,34
سيدميثم,شاه‌حسینی,خ ولی عصر خ امیر بهادر ابتدای خ بشیری نبش ک هجدهم,0,18,کارشناسی ارشد یا بالاتر,,48,,22
سيده اعظم,شاهی,اوین  کوچه عراقی,0,24,دیپلم,,45,,30
سيده خديجه,شبستری,خ خواجه عبدالله انصاری - کوچه 7 - انتهای کوچه ارغوان,1,16,کارشناسی ارشد یا بالاتر,,47,,12
سيده سميه,شجاعی,شهرک بعثت - کوچه پنجم شرقی -,1,17,کارشناسی ارشد یا بالاتر,,52,,3
سيده صديقه,شرع‌پسند,بلوار تعاون . خ مرادی . خ رحمانی جنوبی . نبش بن بست شبنم .,1,21,کارشناسی (لیسانس),,17,,11
سيده فاطمه زهرا,شرف,نارمک-دردشت-بین خ 52 و نادعلی-,1,16,ابتدایی یا متوسطه,,18,,11
سيده مهديه,شریعتمداری,امام زاده حسن . خ سجاد شمالی . خ رشیدی جهان .,1,19,کارشناسی ارشد یا بالاتر,,43,,17
شاهرخ,شریعتی,انتهای خ  شریعتی   .,0,25,دیپلم,,31,,12
شرف,شریف,اتوبان آزادگان - غرب به شرق - 100متر مانده به فداییان اسلام - لاین کندرو,0,18,کارشناسی ارشد یا بالاتر,,44,,2
شكوه,شریفیان,علیخانی شرقی نبش کوچه بهار,0,23,کارشناسی ارشد یا بالاتر,,47,,17
صاحب جان,شفا,بالاتر از میدان کلانتری یوسف آباد- خ  46 -,0,16,کارشناسی (لیسانس),,50,,30
صولت,شهیدی,تهرانسر غربی شهرک استقلال بلوار دکتر عبیدی  کوچه رسول زاده .,0,21,ابتدایی یا متوسطه,,22,,28
طالب,شیخ‌الاسلامی,مرزداران خ ناهید خ گلها 2,0,16,کارشناسی ارشد یا بالاتر,,36,,34
طاهره السادات,شیرازی,گیشا خ 26 بعد از چهار راه قومیان,1,14,دیپلم,,34,,0
عبدالعظيم,شیرمحمدی,بلوار مزرداران میدان گلها -بوستان سوم شرقی,1,18,کارشناسی ارشد یا بالاتر,,54,,30
عبدالمهدي,شیروانی,باکری شمالی  تقاطع ستاری,1,23,کارشناسی ارشد یا بالاتر,,19,,14
عليه,خوئینی,توانیر ابتدای خ چهل شاهد,1,13,کارشناسی (لیسانس),,22,,6
غضنفر,خوئینی‌ها,اتوبان شهید محلاتی غرب -,1,21,ابتدایی یا متوسطه,,30,,14
قاسمعلي,خیابانی,سراسیاب مهراباد جنوبی خ طالقانی ک ذوالقدر,0,14,کارشناسی ارشد یا بالاتر,,29,,6
كاظميه,دانایی‌فر,کاشانی بوستان سوم اعتمادیان,0,12,دیپلم,,44,,19
ليدا,دانایی‌فرد,شهرک دانش . خیابان سعیدی ثابت .,1,16,کارشناسی ارشد یا بالاتر,,31,,16
مارال,داودی,همت شرق به غرب  پنجاه متر قبل  از خروجی پاسداران,0,21,کارشناسی ارشد یا بالاتر,,40,,19
مالك,داور ,فلکه دوم تهران پارس.خ جشنواره.خ 131 شادالویی.ک 180 شرقی.,0,13,کارشناسی (لیسانس),,31,,4
محمدماهان,دباغ,پیروزی - صد دستگاه - کوچه قربا نی - بن بست عطار .,0,19,ابتدایی یا متوسطه,,45,,0
محمدمحسن,درگاهی,خ قزوین . دوراهی قپان . 12 متری شهید مهمان نوازان - كوچه شهید بهبودي -,0,22,کارشناسی ارشد یا بالاتر,,24,,21
محمدمصطفي,دری,خ ولیعصر نرسیده به ظفر بلوار ستاری,0,16,دیپلم,,48,,10
مطهره سادات,دستغیب,خیابان نقدی. پارکگ نقدی,0,15,کارشناسی ارشد یا بالاتر,,41,,29
منيره السادات,دهقان,خ فرجام  غربی نرسیده به سراج,1,13,کارشناسی ارشد یا بالاتر,,37,,32
مهرشاد,دیباج,شریعتی . خ معلم . خ مرودشت . نبش کوچه غفاری .,0,20,کارشناسی (لیسانس),,21,,4
مهرناز,ذاکری,میدان فلاح - ابوذر غربی - رمضان الهی,1,24,ابتدایی یا متوسطه,,15,,5
نجمه سادات,راسخ,گیشا - ابتدای خ سی و سوم,1,14,کارشناسی ارشد یا بالاتر,,44,,28
نقي,راوندی,تجریش-خیابان گلابدره-خیابان سعیدی-کوچه شادمهر-,0,20,دیپلم,,42,,27
نوروز,رجایی ,شهر ری . بلوار بیست و چهار متری . خیابان شهید مرتضی محبتی (بابک) . کوچه غلامحسین رضایی .,0,19,کارشناسی ارشد یا بالاتر,,30,,25
هانيه سادات,رحماندوست,میدان بهارستان نرسیده به چهارراه مخبر الدوله,1,20,کارشناسی ارشد یا بالاتر,,43,,6
وحيدرضا,رحمانیان,میدان آیت الله سعیدی خ آموزنده فرد نبش کوچه تهرانی,0,19,کارشناسی (لیسانس),,45,,18
ياسمين زهرا,رستمی,خیابان قزوین - عبید زاکانی - کوچه آقامیری,0,18,ابتدایی یا متوسطه,,27,,8
ياور,رسولی,شیخ نهای شما لی خ ساحب تبرزی غربی,0,20,کارشناسی ارشد یا بالاتر,,30,,30
اباذر,رفیعی,خیابان دربند  نرسیده به تله کابین  و بعد از  کلانتری,0,21,دیپلم,,34,,33
اعظم سادات,رنجبر,خ قزوین - چهارراه ملک - خ برادران جوادیان ( قلمستان ) - بن بست عبادی,1,12,کارشناسی ارشد یا بالاتر,,34,,14
افروز,رنگرز,شهرک ولیعصر - خ جلالی شمالی نبش ک هاشمی اصل,1,19,کارشناسی ارشد یا بالاتر,,38,,28
اقبال,روحانی,میدان ابن سینا خ همایون -,1,22,کارشناسی (لیسانس),,15,,12
آلا,روزبه,خ مولوی . ایستگاه سعادت . نرسیده به م محمدیه .,0,19,ابتدایی یا متوسطه,,42,,14
انيسه,رهنما,شهرری. صفائیه. خیابان بهشت. خیابان غزاقی,0,12,کارشناسی ارشد یا بالاتر,,26,,10
بختيار,زارع,بلوار اوشان - قبل از راهنمایی رانندگی - خیابان شهرداری-,1,18,دیپلم,,44,,1
بنفشه,زالی,مرتضی گرد -انتهای خ فرهمند -,0,25,کارشناسی ارشد یا بالاتر,,35,,3
بهراد,زرشناس,امیر اباد . خ مظفری خواه .,1,22,کارشناسی ارشد یا بالاتر,,19,,6
پري دخت,زمردیان,شهرک ولیعصر . خ حیدری جنوبی .,1,13,کارشناسی (لیسانس),,47,,12
حليمه خاتون,زهرایی,شهرری -خ ورامین  خ 24 متری رازی - خ محبتی نبش کوچه غلامی,1,17,ابتدایی یا متوسطه,,16,,23
حوري,زین‌الدین,15 خرداد شرقی کوچه امام زاده یحیی,1,23,کارشناسی ارشد یا بالاتر,,30,,2
خدابخش,ساعی,چهارراه پارک وی.ابتدای خ فرعی.نانوایی فانتزی بزرگ,0,16,ابتدایی یا متوسطه,,49,,16
خيريه,سبحانی,بلوار مرزداران 35 متری لاله لاله 5,1,16,فوق دیپلم,,22,,19
ذبيح الله,سبزواری,میدان شهدا .انتهای خ سرابی ضلع شمالی اداره برق . نبش خ منتظری .,1,15,کارشناسی (لیسانس),,23,,10
رفيعه,سپه‌وند,یافت اباد . خیابان شهید قاسم باقری . 10متری طاهری .,1,18,دیپلم,,51,,33
زرين تاج,ستاری,خیابان ملاصدرا - خ شیخ بهایی شمالی - کوچه صاحب تبریزی غربی -,1,13,کارشناسی ارشد یا بالاتر,,15,,31
زهرابيگم,سحاب,خلیج شهرک مفید - 10 متری شقایق کوچه صنوبر,0,16,ابتدایی یا متوسطه,,44,,14
ساميه,سحابی,حکیمیه ابتدای بلوار بهار خیابان نشره,0,25,فوق دیپلم,,28,,28
سبا,سراج,میرداماد . میدان مادر . خ سنجابی . میدان مینا . ابتدای  کوچه دوازدهم .,0,12,کارشناسی (لیسانس),,48,,15
سعيدرضا,سرشار,اتوبان ارتش سوهانک انتهای سرتاسر خ یزدان فر و,1,25,دیپلم,,35,,27
سعيده سادات,سرمد,تهرانپارس - خ زهدی - خ امین - ایستگاه بانک صادرات - ک کهنسال - ک 16 متری طالقانی-,1,19,کارشناسی ارشد یا بالاتر,,30,,11
سمانه السادات,سروستانی,میدان اسد ابادی - نبش مهرام -,0,21,ابتدایی یا متوسطه,,25,,2
سوده,سروش,شهرک اکباتان بین میدان هکمتانه و میدان بسیج و همچنیم میدان صارمی,1,15,فوق دیپلم,,53,,31
سيدعبدالرسول,سلامت,مسعودیه - خیابان عباس پور - کوچه فلسطین شرقی - بین 10متری سوم و چهارم,0,22,کارشناسی (لیسانس),,28,,35
سيدعلي محمد,سیف,نعمت آباد. خ طالقانی. نبش گلگون,0,18,دیپلم,,44,,5
سيدكمال,سیف‌زاده,خ 17 شهریور خ ایت الله سعیدی خ مشهد,1,12,کارشناسی ارشد یا بالاتر,,39,,5
سيدمحمدصالح,شادمهر,بلوار میرداماد غرب به شرق رویروی,0,18,ابتدایی یا متوسطه,,27,,30
سيدمحمدهادي,شاملو,میدان ذانگاه شهید بهشتی به سمت درکه - ک اول به نام نو فرستی -,0,24,فوق دیپلم,,24,,6
سيده كبري,شاه‌حسینی,خ ری خ بهرام موسوی بن بست حسن رضایی,0,21,کارشناسی (لیسانس),,39,,33
سيده مائده,شاهی,خیابان وحدت اسلامی - نبش خیابان فرهنگ,0,20,دیپلم,,17,,14
سيده محبوبه,شبستری,اشرف ی  اصفهانی - سیمون بلوار --نبش  الوند,1,22,کارشناسی ارشد یا بالاتر,,39,,11
سيده محدثه,شجاعی,خیابان پیروزی - خیابان پیچک - کوچه فتحی,1,21,ابتدایی یا متوسطه,,34,,7
سيدياسر,شرع‌پسند,افسریه - بین 15 متری اول و اتوبان - خیابان 38 -,1,18,فوق دیپلم,,37,,33
سيديحيي,شرف,اخوان طباطبایی,1,19,کارشناسی (لیسانس),,30,,20
سيديونس,شریعتمداری,زیبا دشت بالا - نبش گلستان دوم غربی -,0,13,دیپلم,,19,,0
شراره,شریعتی,یافت اباد . خ سید جمال الدین اسد ابادی .,1,15,کارشناسی ارشد یا بالاتر,,18,,29
صبيحه,شریف,خ مدنی.خ علی محمد حسینی.حد فاصل خ مدنی  ومعصومی  ضلع شرقی,0,24,ابتدایی یا متوسطه,,52,,34
ضحي,شریفیان,پنجم نیروی هوایی. 5/29 یا کوچه طاهری .,0,15,فوق دیپلم,,29,,29
طاهره سادات,شفا,اشرفی اصفهانی خیابان پیامبر بعد از بلوار ابوذر,1,17,کارشناسی (لیسانس),,24,,30
علي اشرف,شهیدی,شهید اوینی - پایین تر از هادی سائی مسجد ولی اباد,0,20,دیپلم,,44,,6
عمار,شیخ‌الاسلامی,نیاوران-خ فیضیه-کوچه13-کوچه14-بوستان شهدای شیرازی,1,15,کارشناسی ارشد یا بالاتر,,18,,35
عمران,شیرازی,بلوار شهرزاد امیر پابرجا -بلوار ایینه جنوبی,0,17,ابتدایی یا متوسطه,,39,,28
عين اله,شیرمحمدی,نارمک میدان شقایق ابتدای دردشت ورودی 46 متری شرقی(شهید ثانی),1,25,فوق دیپلم,,15,,10
غزال,شیروانی,خ مصطفی خمینی کوچه براز جان,1,14,کارشناسی (لیسانس),,40,,28
غلام رضا,صانعی,خ قزوین.خ میر جلیلی.خ اسکندری.حد فاصل جلیلی تا خ مرادی( استخر ),0,14,دیپلم,,15,,19
فاضله,صباغ,پیروزی چهار راه کوکاکولا,1,18,کارشناسی ارشد یا بالاتر,,23,,12
فاطمه سلطان,صدر,یوسف آباد- خ نوزدهم-,1,20,ابتدایی یا متوسطه,,21,,12
فاطمه معصومه,صدیق,میدان رازی . خ رباط کریم . خ خطیب .,1,25,فوق دیپلم,,24,,16
فاطمه نساء,صدیقی,خ وحدت اسلامی . خ مختاری شرقی  . انتهای کوچه کاظمی . سمت چ,0,12,کارشناسی (لیسانس),,33,,25
فائقه,صغیری,خ جمالزاده شمالی. بالاتر از بلوار کشاورز.,0,19,دیپلم,,31,,8
فرنوش,صفوی,خیابان ری خ ابشار ابتدای کوچه گرکانی,0,12,کارشناسی ارشد یا بالاتر,,27,,3
فريباسادات,عارف,خیابان ستارخان خیابان شادمان خیابان  خوش رو کوچه سرابی روبه روی,1,21,ابتدایی یا متوسطه,,54,,11
قدرت,عاشوری,بلوار ابوذر . پل ششم . خ بقایی . خ بجستانی . نبش ک 16,1,25,فوق دیپلم,,35,,24
قدير,عالی,ورد آورد - اردستانی شمالی - جاده وردیش - پل زیرین اتوبان همت,0,17,کارشناسی (لیسانس),,29,,28
كرامت اله,عبادی,خ امیر کبیر . به سمت سه راه امین حضور .,1,15,دیپلم,,55,,13
كنيزرضا,عبدالکریمی,امیریه سرپل امیربهادر خ سرگرد بشیری کوچه وزیری  کوچه اسدزاده بن بست پازنده,0,25,کارشناسی ارشد یا بالاتر,,19,,2
كيانوش,عبدالملکی,خزانه بخارایی بین فلکه سوم و چهارم عباسی کوچه شهید رحیمی,1,15,ابتدایی یا متوسطه,,46,,11
گلثوم,عراقی,خ یوسف اباد خ 64 شرقی,0,23,فوق دیپلم,,45,,31
لادن,عزیزی,بلور سازی کوچه هدایتی,0,18,کارشناسی (لیسانس),,42,,16
ليلاسادات,عصار,خ فلسطین شمالی - پایین تر از زرتشت - ک شهید فیروز دهقان - درمانگاه امام خمینی,0,19,دیپلم,,30,,25
ماريا,کمالی,تهران پارس - خ استخر - ک شهید سعادت مند -,0,18,کارشناسی ارشد یا بالاتر,,46,,23
مازيار,کوشکی,خیابان اشرفی اصفهانی . خیابان باغ فیض . خیابان باغ ملی,0,22,ابتدایی یا متوسطه,,48,,9
مائده السادات,کهنمویی,خ خراسان خ لرزاده نبش قدیرکاشانی غربی,1,18,فوق دیپلم,,34,,17
مباركه,کیان,عارف جنوبی /پایین تر 4 عجب گل .پایین تر کوچه علی خانی میوه فروشی,1,23,کارشناسی (لیسانس),,27,,2
مبيناسادات,کیانی,شهرری دولت اباد شهرک شهید رجائی خ شهید سیانکی,1,24,دیپلم,,51,,14
محبوبه سادات,گل محمدی,نارمک  .  انتهای  خ  مهران  پور  .  نبش  امام  علی,0,14,کارشناسی ارشد یا بالاتر,,41,,3
محمداسمعيل,گلپایگانی,پاسداران خیابان اخوان تقاطع اسلامی,1,21,ابتدایی یا متوسطه,,25,,10
محمدصابر,گنجی,میدان امام حسین- خ 17 شهریور-خ صفای غربی-نبش کوچه پیش یار,1,20,فوق دیپلم,,15,,29
مستانه,لاجوردی,خ سهیل    (  میرزا  پور  )  .  خ فاطمیه  .  مهر  7   .,1,23,کارشناسی (لیسانس),,35,,34
معراج,لاچینی,آبت الله کاشانی-بلوار شقایق-نرسیده به حکیم-نرسیده به 5 شرقی,1,22,دیپلم,,55,,8
مكيه,لاهوتی,جنت آباد مرکزی-خ مخبری-انتهای116 متری دوم شمالی-خ 11 مرکزی,0,20,کارشناسی ارشد یا بالاتر,,49,,10
مليحه سادات,لنکرانی,شهران شمالی بلوار نیما یوشیخ,1,12,ابتدایی یا متوسطه,,33,,26
منيجه,لوکس,بلوار پروین . نبش 184 شرقی ( مرادی ),0,14,فوق دیپلم,,44,,29
منيرالسادات,مجاهد,برد جنوبی - شهرک گل سرخ - بهستان یکم غربی -,1,16,کارشناسی (لیسانس),,15,,30
مهراب,مجتبایی,میدان تجریش -   خ شهرداری,1,14,دیپلم,,35,,6
مهرالسادات,مجتبوی,خ شمشیری ک دلجو,0,25,کارشناسی ارشد یا بالاتر,,53,,13
مهرزاد,مجتهد شبستری,شهرک راه آهن - بلوار کاشان - خ  میلاد چهار- کوچه میثاق یکم,1,24,ابتدایی یا متوسطه,,45,,17
ميعاد,مجتهدی,خیابان بروجردی - زیر پل بعثت,1,19,فوق دیپلم,,29,,9
ميمنت,مجرد,جنت اباد مرکزی .شمال اتوبان همت .. بلوار بعثت . شانزده متری اول شمالی نبش ک توکلی غربی,0,12,کارشناسی (لیسانس),,35,,27
نصره,محجوب,شهرک ورد اورد . خ گلزار . انتهای ک زندیه . داخل بوستان,0,13,دیپلم,,54,,16
نوال,محجوبی,کردستان . شیخ بهایی جنوبی . بلوار آزادگان . کوچه 23 غربی .,0,24,کارشناسی ارشد یا بالاتر,,40,,18
نورمحمد,محدثی,کردستان . شیخ بهایی جنوبی . بلوار آزادگان . کوچه 23 غربی .,0,14,ابتدایی یا متوسطه,,28,,6
نيكا,محمدرضایی,خ هاشمی.21 متری جی,1,20,فوق دیپلم,,34,,6
